HILIC-neg_Cluster_0247	L-phenyllactic acid
HILIC-neg_Cluster_0254	urate
HILIC-neg_Cluster_0283	shikimate
HILIC-neg_Cluster_0288	suberate
HILIC-neg_Cluster_0290	arginine
HILIC-neg_Cluster_0296	citrulline
HILIC-neg_Cluster_0299	ascorbate
HILIC-neg_Cluster_0321	fructose/glucose/galactose*
HILIC-neg_Cluster_0324	tyrosine
HILIC-neg_Cluster_0328	homovanillate
HILIC-neg_Cluster_0331	sorbitol
HILIC-neg_Cluster_0332	saccharin
HILIC-neg_Cluster_0335	4-pyridoxate
HILIC-neg_Cluster_0365	azelaic acid
HILIC-neg_Cluster_0372	N-acetylglutamate
HILIC-neg_Cluster_0392	citrate
HILIC-neg_Cluster_0401	glucurote
HILIC-neg_Cluster_0441	sebacate
HILIC-neg_Cluster_0452	tryptophan
HILIC-neg_Cluster_0480	1-3-7-trimethylurate
HILIC-neg_Cluster_0552	pantothete
HILIC-neg_Cluster_0562	ethyl glucuronide
HILIC-neg_Cluster_0622	1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid
HILIC-neg_Cluster_0677	cystine
HILIC-neg_Cluster_0697	pentadecanoate
HILIC-neg_Cluster_0706	uridine
HILIC-neg_Cluster_0707	pseudouridine
HILIC-neg_Cluster_0740	deoxyinosine
HILIC-neg_Cluster_0824	inosine
HILIC-neg_Cluster_0841	heptadecanoate
HILIC-neg_Cluster_0909	guanosine
HILIC-neg_Cluster_1002	eicosapentaenoic acid
HILIC-neg_Cluster_1088	linoleoyl ethanolamide 
HILIC-neg_Cluster_1126	docosapentaenoate
HILIC-neg_Cluster_1170	lactose
HILIC-neg_Cluster_1300	riboflavin
HILIC-neg_Cluster_1303	lithocholate
HILIC-neg_Cluster_1325	linoleoyl ethanolamide
HILIC-neg_Cluster_1360	chenodeoxycholate/deoxycholate*
HILIC-neg_Cluster_1403	cholate
HILIC-neg_Cluster_1571	glycocholate
HILIC-neg_Cluster_1675	taurodeoxycholate/taurochenodeoxycholate*
HILIC-pos_Cluster_0007	putrescine
HILIC-pos_Cluster_0008	alanine
HILIC-pos_Cluster_0009	beta-alanine
HILIC-pos_Cluster_0022	choline
HILIC-pos_Cluster_0024	serine
HILIC-pos_Cluster_0032	cytosine
HILIC-pos_Cluster_0033	histamine
HILIC-pos_Cluster_0036	creatinine
HILIC-pos_Cluster_0038	N-acetylputrescine
HILIC-pos_Cluster_0041	proline
HILIC-pos_Cluster_0046	valine
HILIC-pos_Cluster_0048	betaine
HILIC-pos_Cluster_0049	threonine
HILIC-pos_Cluster_0054	trimethylbenzene*
HILIC-pos_Cluster_0062	nicotinic acid
HILIC-pos_Cluster_0066	taurine
HILIC-pos_Cluster_0079	pyroglutamic acid
HILIC-pos_Cluster_0081	pipecolic acid
HILIC-pos_Cluster_0082	N-methylproline
HILIC-pos_Cluster_0086	N-acetylputrescine
HILIC-pos_Cluster_0089	hydroxyproline
HILIC-pos_Cluster_0090	creatine
HILIC-pos_Cluster_0091	leucine
HILIC-pos_Cluster_0092	isoleucine
HILIC-pos_Cluster_0099	asparagine
HILIC-pos_Cluster_0100	ornithine
HILIC-pos_Cluster_0108	hypoxanthine
HILIC-pos_Cluster_0110	1-methylnicotinamide
HILIC-pos_Cluster_0113	trigonelline
HILIC-pos_Cluster_0114	2-hydroxyphenethylamine
HILIC-pos_Cluster_0116	urocanic acid
HILIC-pos_Cluster_0121	imidazole propionate
HILIC-pos_Cluster_0134	proline betaine
HILIC-pos_Cluster_0150	4-guanidinobutanoic acid
HILIC-pos_Cluster_0151	butyrobetaine
HILIC-pos_Cluster_0152	acetylcholine
HILIC-pos_Cluster_0156	glutamine
HILIC-pos_Cluster_0157	lysine
HILIC-pos_Cluster_0160	glutamate
HILIC-pos_Cluster_0167	methionine
HILIC-pos_Cluster_0172	triethanolamine
HILIC-pos_Cluster_0177	4-hydroxy-3-methylacetophenone
HILIC-pos_Cluster_0184	pyridoxamine
HILIC-pos_Cluster_0191	methylpyridonecarboxamide
HILIC-pos_Cluster_0230	carnitine
HILIC-pos_Cluster_0244	methionine sulfoxide
HILIC-pos_Cluster_0245	1-methylguanine
HILIC-pos_Cluster_0246	7-methylguanine
HILIC-pos_Cluster_0248	phenylalanine
HILIC-pos_Cluster_0254	3-methylxanthine
HILIC-pos_Cluster_0268	pyridoxamine
HILIC-pos_Cluster_0272	3-methylhistidine
HILIC-pos_Cluster_0295	arginine
HILIC-pos_Cluster_0298	dimethyllysine
HILIC-pos_Cluster_0306	citrulline
HILIC-pos_Cluster_0333	tyrosine
HILIC-pos_Cluster_0374	N-acetylspermidine
HILIC-pos_Cluster_0378	NMMA
HILIC-pos_Cluster_0379	trimethyllysine
HILIC-pos_Cluster_0383	kynurenic acid
HILIC-pos_Cluster_0384	N-acetylglutamic acid
HILIC-pos_Cluster_0405	caffeine
HILIC-pos_Cluster_0419	N-acetylhistidine
HILIC-pos_Cluster_0422	5-acetylamino-6-amino-3-methyluracil
HILIC-pos_Cluster_0446	ADMA/SDMA*
HILIC-pos_Cluster_0447	ADMA
HILIC-pos_Cluster_0453	C2 carnitine
HILIC-pos_Cluster_0455	tryptophan
HILIC-pos_Cluster_0495	N-acetylglutamic acid
HILIC-pos_Cluster_0521	L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*
HILIC-pos_Cluster_0524	N-acetyl-L-arginine
HILIC-pos_Cluster_0540	pantothenate
HILIC-pos_Cluster_0590	carnosine
HILIC-pos_Cluster_0625	C4 carnitine
HILIC-pos_Cluster_0657	geranyl acetoacetate*
HILIC-pos_Cluster_0658	geranyl acetoacetate*
HILIC-pos_Cluster_0667	anserine
HILIC-pos_Cluster_0728	2-deoxyadenosine
HILIC-pos_Cluster_0734	deoxyinosine
HILIC-pos_Cluster_0790	C3-DC-CH3 carnitine
HILIC-pos_Cluster_0797	thiamine
HILIC-pos_Cluster_0817	atenolol
HILIC-pos_Cluster_0822	inosine
HILIC-pos_Cluster_0906	threosphingosine
HILIC-pos_Cluster_0913	ethyl 9-hexadecenoate
HILIC-pos_Cluster_0914	8-hydroxy-deoxyguanosine
HILIC-pos_Cluster_0927	piperine
HILIC-pos_Cluster_0936	diacetylspermine
HILIC-pos_Cluster_0998	threosphingosine
HILIC-pos_Cluster_1017	sphinganine
